Country,Capital,Latitude,Longitude,Continent
Abkhazia,Sukhumi,43.001525,41.023415,Unknown
Afghanistan,Kabul,34.575503,69.240073,Asia
Aland Islands,Mariehamn,60.1,19.933333,Europe
Albania,Tirana,41.327546,19.818698,Europe
Algeria,Algiers,36.752887,3.042048,Africa
American Samoa,Pago Pago,-14.275632,-170.702036,Oceania
Andorra,Andorra la Vella,42.506317,1.521835,Europe
Angola,Luanda,-8.839988,13.289437,Africa
Anguilla,The Valley,18.214813,-63.057441,North America
Antarctica,South Pole,-90.0,0.0,Antarctica
Antigua and Barbuda,St. John's,17.12741,-61.846772,North America
Argentina,Buenos Aires,-34.603684,-58.381559,South America
Armenia,Yerevan,40.179186,44.499103,Asia
Aruba,Oranjestad,12.509204,-70.008631,North America
Australia,Canberra,-35.282,149.128684,Oceania
Austria,Vienna,48.208174,16.373819,Europe
Azerbaijan,Baku,40.409262,49.867092,Asia
Bahamas,Nassau,25.047984,-77.355413,North America
Bahrain,Manama,26.228516,50.58605,Asia
Bangladesh,Dhaka,23.810332,90.412518,Asia
Barbados,Bridgetown,13.113222,-59.598809,North America
Belarus,Minsk,53.90454,27.561524,Europe
Belgium,Brussels,50.85034,4.35171,Europe
Belize,Belmopan,17.251011,-88.75902,North America
Benin,Porto-Novo,6.496857,2.628852,Africa
Bermuda,Hamilton,32.294816,-64.781375,North America
Bhutan,Thimphu,27.472792,89.639286,Asia
Bolivia,La Paz,-16.489689,-68.119294,South America
Bosnia and Herzegovina,Sarajevo,43.856259,18.413076,Europe
Botswana,Gaborone,-24.628208,25.923147,Africa
Bouvet Island,Bouvet Island,-54.43,3.38,Antarctica
Brazil,Brasília,-15.794229,-47.882166,South America
British Indian Ocean Territory,Camp Justice,21.3419,55.4778,Asia
British Virgin Islands,Road Town,18.428612,-64.618466,North America
Brunei,Bandar Seri Begawan,4.903052,114.939821,Asia
Bulgaria,Sofia,42.697708,23.321868,Europe
Burkina Faso,Ouagadougou,12.371428,-1.51966,Africa
Burundi,Bujumbura,-3.361378,29.359878,Africa
Cambodia,Phnom Penh,11.544873,104.892167,Asia
